    Index      rate  quality    brain_area
951767562   0.29637  noise      CA1
951767566   0.71446  good       CA1
951767573   7.00834  good       CA1
951767580   0.01715  good       CA1
951767586   5.66043  good       CA1
951767594   3.2216   good       CA1
951767599   1.25687  noise      CA1
951767606   1.26183  good       CA1
951767612   6.88134  good       CA1
951767618   4.13209  good       CA1
951767624   3.92211  good       CA1
951767631   0.00496  good       CA1
951767636   0.19076  noise      CA1
951767643   4.95309  good       CA1
951767649   6.09692  good       CA1
951767655   1.171    good       CA1
951767661   7.66545  good       CA1
951767667   1.09298  good       CA1
951767674   0.24584  good       CA1
951767681   0.22228  good       CA1
951767688   1.44722  noise      CA1
951767694   0.24387  noise      CA1
951767700   0.04929  good       CA1
951767707   0.01829  noise      CA1
951767713  17.364    good       CA1
951767719   1.35949  good       CA1
951767725  14.6946   good       CA1
951767730  13.7188   good       CA1
951767738   2.12593  good       CA1
951767743   1.28085  noise      CA1
951767750   1.1275   good       CA1
951767757   0.86709  good       CA1
951767763   0.25875  good       CA1
951767770   2.86085  good       CA1
951767776   2.16685  noise      CA1
951767782   1.31753  good       CA1
951767789   4.99897  good       CA1
951767795   2.74997  good       CA1
951767803   4.23677  good       CA1
951767810   2.37765  good       CA1
951767821   4.38216  good       CA1
951767827   4.35674  good       CA1
951767832   3.53626  good       CA1
951767838   2.72631  good       CA1
951767845   0.74929  noise      CA1
951767852   0.26867  noise      CA1
951767857   1.92391  good       CA1
951767862   0.6289   noise      CA1
951767868   2.15331  noise      CA1
951767873   2.78717  good       CA1
951767879   1.65482  good       CA1
951767884   0.02883  good       CA1
951767892   0.20926  good       CA1
951767897  26.7566   good       CA1
951767903   4.96601  good       CA1
951767907   1.15405  good       CA1
951767915   2.33498  good       CA1
951767920  11.689    good       CA1
951767927   4.05283  good       CA1
951767933   1.48814  good       CA1
951767939   3.34074  good       CA1
951767945   4.65301  good       CA1
951767950  11.2101   good       CA1
951767956   3.27482  good       CA1
951767960   7.71826  good       CA1
951767966   7.05711  good       CA1
951767973   1.25284  good       CA1
951767979   2.99633  good       CA1
951767984   0.48289  good       CA1
951767991   5.21691  good       CA1
951767997   2.56841  good       CA1
951768004   4.48581  good       CA1
951768010   4.42339  good       CA1
951768018   8.212    good       CA1
951768023   4.26932  good       CA1
951768030   2.22027  good       CA1
951768035   3.24588  noise      CA1
951768042   3.34725  noise      CA1
951768047   2.89165  good       CA1
951768054  18.1724   good       CA1
951768060   0.46429  noise      CA1
951768067   3.65075  good       CA1
951768073   2.28259  noise      CA1
951768080   1.55624  good       CA1
951768086   0.1579   good       CA1
951768093   3.65344  good       CA1
951768098   4.65538  noise      CA1
951768105  13.1174   good       CA1
951768109   2.4225   noise      CA1
951768115   0.42089  noise      CA1
951768121   0.28893  noise      VISp
951768127   3.07114  noise      VISp
951768133  12.0295   good       VISp
951768139   4.95733  good       VISp
951768144   3.58524  noise      VISp
951768149   3.98442  noise      VISp
951768154   5.94749  good       VISp
951768160   2.84969  good       VISp
951768165   5.99213  noise      VISp
951768170   4.00664  good       VISp
951768177   2.6113   good       VISp
951768183   5.32107  good       VISp
951768188   3.62843  good       VISp
951768196   1.16005  good       VISp
951768201   4.48178  noise      VISp
951768209   1.65337  good       VISp
951768215   2.43232  good       VISp
951768222  38.6918   good       VISp
951768228   1.4528   good       VISp
951768234   0.04402  good       VISp
951768239   2.24094  good       VISp
951768247   6.3691   good       VISp
951768252   0.95854  good       VISp
951768258   2.92234  good       VISp
951768266   1.54962  good       VISp
951768272   0.11047  good       VISp
951768278   9.61519  good       VISp
951768285   3.60332  good       VISp
951768291   2.06661  good       VISp
951768298   7.5058   good       VISp
951768307   3.44108  good       VISp
951768313   2.51974  noise      VISp
951768318  11.362    good       VISp
951768327   1.25057  good       VISp
951768332  18.085    good       VISp
951768340   2.44038  good       VISp
951768345   4.23646  good       VISp
951768352   1.72974  good       VISp
951768356   3.20248  noise      VISp
951768363   1.26452  good       VISp
951768369   4.01356  good       VISp
951768374  10.5394   good       VISp
951768382  11.6807   good       VISp
951768390  27.369    good       VISp
951768402   7.5028   good       VISp
951768408  11.9073   good       VISp
951768415   1.64232  good       VISp
951768421  11.2489   good       VISp
951768427   5.18322  good       VISp
951768434  10.6732   good       VISp
951768441  23.9354   good       VISp
951768446  14.5898   good       VISp
951768451  11.3477   good       VISp
951768457   9.15917  good       VISp
951768462   3.18564  good       VISp
951768467   1.92143  good       VISp
951768473   8.20703  good       VISp
951768480   5.17423  good       VISp
951768487   0.31145  good       VISp
951768495  16.5755   good       VISp
951768500  11.2425   good       VISp
951768506   0.13651  good       VISp
951768511   6.84621  good       VISp
951768519   0.21856  good       VISp
951768524   4.24338  good       VISp
951768530   2.67815  good       VISp
951768538   4.26591  good       VISp
951768544   2.18772  good       VISp
951768550   2.01825  good       VISp
951768557   7.48875  good       VISp
951768563   1.62082  good       VISp
951768568   7.46457  good       VISp
951768575   1.83111  good       VISp
951768581   4.42153  good       VISp
951768586   2.11725  good       VISp
951768593   2.39016  good       VISp
951768598   1.75857  good       VISp
951768604   6.47378  good       VISp
951768611   0.82968  good       VISp
951768616   1.5769   good       VISp
951768621   3.24547  good       VISp
951768627  11.0219   good       VISp
951768632   4.57457  good       VISp
951768637   2.74026  noise      VISp
951768643   1.4684   good       VISp
951768649   5.50615  good       VISp
951768655   2.28073  good       VISp
951768660   0.7403   good       VISp
951768668   2.53855  good       VISp
951768673   1.92969  good       VISp
951768681   0.49353  good       VISp
951768686   3.26159  noise      VISp
951768693   2.85889  good       VISp
951768699   4.46896  good       VISp
951768705   4.19585  good       VISp
951768712   4.65549  good       VISp
951768717   1.42169  good       VISp
951768723   5.12256  good       VISp
951768729   1.35205  noise      VISp
951768735   0.81573  good       VISp
951768739   1.94953  good       VISp
951768745   2.27897  noise      VISp
951768749   2.02352  good       VISp
951768754   1.3661   good       VISp
951768760   4.04994  noise      VISp
951768766   8.87438  good       VISp
951768771   8.05575  noise      VISp
951768776   0.03441  good       VISp
951768782   0.1641   good       VISp
951768786   3.67638  noise      VISp
951768793   4.23739  good       VISp
951768797   0.88393  good       VISp
951768802   0.00651  good       VISp
951768807   2.17615  good       VISp
951768810   2.27835  noise      VISp
951768815   2.70812  good       VISp
951768820   5.31446  noise      VISp
951768823   6.52535  good       VISp
951768830  10.9098   good       VISp
951768835   7.83947  good       VISp
951768842   2.49308  good       VISp
951768848   4.81886  noise      VISp
951768854   3.75047  noise      VISp
951768861   0.24088  good       VISp
951768867   0.03813  good       VISp
951768875   0.94707  good       VISp
951768881   2.06258  good       VISp
951768888   2.90921  good       VISp
951768894   9.16155  good       VISp
951768901   3.99186  good       VISp
951768907   2.85765  good       VISp
951768913   0.0712   good       VISp
951768920   1.85539  good       VISp
951768925   2.28806  good       VISp
951768932   0.78329  noise      VISp
951768937   0.08412  good       VISp
951768944   0.96981  good       VISp
951768950   0.37893  noise      VISp
951768957  10.2835   noise
951768969   6.83019  noise
951768974   1.00556  noise
951768980   6.48257  good       PO
951768986   8.03663  good       PO
951768990   1.87875  good       PO
951768995   4.25578  good       PO
951769002   0.03389  good       LP
951769007  15.5288   good       LP
951769012   1.77727  good       LP
951769018   2.70678  good       LP
951769024   7.12573  good       LP
951769029  11.3657   good       LP
951769034  10.5122   good       LP
951769041   1.54229  good       LP
951769046   6.2699   good       LP
951769054   2.17036  good       LP
951769060   2.35905  good       LP
951769068   3.05016  good       LP
951769074   0.03823  good       LP
951769081  14.6808   good       LP
951769088   2.94218  good       LP
951769094   7.31804  good       LP
951769100   2.82582  good       LP
951769106   7.54703  good       LP
951769112   2.67371  good       LP
951769119   6.08782  good       LP
951769125   2.68911  good       LP
951769131   1.97671  good       LP
951769138   2.61677  good       LP
951769144   1.13215  good       LP
951769149   3.25725  good       LP
951769156   1.14785  good       DG
951769162   0.04485  good       DG
951769169   0.04433  good       DG
951769174   1.73439  noise      DG
951769182   0.13651  good       DG
951769187   1.45662  noise      CA1
951769194   1.14785  noise      CA1
951769200   0.28438  noise      CA1
951769207   0.01054  noise      CA1
951769213   0.0156   noise      CA1
951769220   0.00889  noise      CA1
951769226   0.03348  noise      CA1
951769233   0.04309  good       CA1
951769238   0.01932  noise      CA1
951769246   0.14777  good       CA1
951769251   2.34118  good       CA1
951769259   0.10148  good       CA1
951769264   1.08802  good       CA1
951769272   0.02769  good       CA1
951769277   0.02108  good       CA1
951769284   0.45054  good       VISp
951769289   0.28851  good       VISp
951769295   3.27275  good       VISp
951769299   4.57933  good       VISp
951769304   2.04729  good       VISp
951769309   1.31185  good       VISp
951769314   1.02519  good       VISp
951769319   0.83041  good       VISp
951769325   0.75714  good       VISp
951769330   1.10104  good       VISp
951769334   0.07223  good       VISp
951769339   0.3778   good       VISp
951769344   0.94873  good       VISp
951769351   0.25638  good       VISp
951769355   0.05136  good       VISp
951769362   0.04464  good       VISp
