columns : ['rate', 'spread', 'velocity_below', 'silhouette_score', 'firing_rate', 'd_prime', 'nn_hit_rate', 'waveform_duration', 'amplitude', 'cluster_id', 'snr', 'local_index', 'peak_channel_id', 'PT_ratio', 'presence_ratio', 'max_drift', 'cumulative_drift', 'repolarization_slope', 'waveform_halfwidth', 'amplitude_cutoff', 'nn_miss_rate', 'quality', 'velocity_above', 'isolation_distance', 'l_ratio', 'recovery_slope', 'isi_violations']
    Index      rate    spread    velocity_below    silhouette_score    firing_rate    d_prime    nn_hit_rate    waveform_duration    amplitude    cluster_id    snr    local_index    peak_channel_id    PT_ratio    presence_ratio    max_drift    cumulative_drift    repolarization_slope    waveform_halfwidth    amplitude_cutoff    nn_miss_rate  quality      velocity_above    isolation_distance    l_ratio    recovery_slope    isi_violations
951763823  15.7534         80              0.27                0.08          15.75       3.26           0.95                 1.5        166.02            30   1.27             30          850135064        1.21              0.99        31.47              102.05                    0.07                  0.84                0.16            0     good                   0.27          65.17              0.01             -0.02              0.03
951763828  20.426          50              0                   0.17          20.43       7.35           1                    0.36       387.75            31   4.76             31          850135066        0.9               0.99        47.82              104.69                    1.47                  0.19                0               0     good                   0.34         129.98              0                -0.28              0
951763833   5.54128        50             -0.34                0.14           5.54       2.73           0.83                 1.41       253.18            32   1.91             32          850135068       10.55              0.99        44.35              131.02                    0.15                nan                   0.5             0     good                   0             49.27              0.01             -0.03              0.09
951763837  10.3832         40             -0.69                0.07          10.38       3.26           0.92                 1.4        332.94            33   2.45             33          850135068        2.74              0.99        43.84               84.73                    0.18                nan                   0               0     good                  -0.34          50.35              0.02             -0.02              0.01
951763841  18.6182         70              0                   0.09          18.62       2.77           0.91                 1.04       253.41            34   1.85             34          850135068        7.92              0.99        47.61              117.71                    0.15                nan                   0.06            0.01  good                  -0.07          53.17              0.03             -0                 0.03
951763845  12.7977         50             -1.37                0.07          12.8        4.31           0.96                 1.26       207.72            35   1.64             35          850135068       11.52              0.99        37.5                94.2                     0.13                nan                   0.02            0.01  good                   0             69.14              0                -0.01              0.03
951763849  11.4132         80              0.27                0.21          11.41       5.34           0.94                 0.51       183.93            36   2.58             36          850135070        0.33              0.99        34                 110.88                    0.54                  0.25                0               0     good                   0.76          71.26              0                -0.09              0.04
951763854   2.52108        90              0.98                0.11           2.52       3.89           0.83                 0.47       101.37            37   1.4              37          850135070        0.22              0.99        43.12              379.27                    0.27                  0.25                0.44            0     noise                  1.17          48.78              0.01             -0.04              0.02
951763859  17.1477         60             -0.34                0.11          17.15       3.16           0.62                 0.52       317.22            38   3.53             38          850135072        0.39              0.99        36.53               98.08                    0.97                  0.22                0.01            0.02  good                   0.27          48.73              0.04             -0.18              0.06
951763863   0.59377        70             -0.48               -0.01           0.59       1.96           0.07                 0.55       231.81            40   2.5              39          850135072        0.43              0.98        38.38              297.14                    0.69                  0.23                0.06            0     good                   0.21          25.39              0.04             -0.12              0.22
951763867   0.03658        70             -0.21              nan              0.04       2.72           0                    0.54       281.53            41   3.04             40          850135072        0.48              0.71         8.83                4.12                    0.86                  0.25                0.49            0     good                   0.21          24.11              0.02             -0.19              0
951763874   0.01312        80              0                   0.02           0.01       3.51         nan                    0.52       227.62            42   2.19             41          850135072        0.44              0.49       nan                   0                       0.64                  0.25                0.41            0     noise                  0.49          27.82              0                -0.12              0
951763880   0.02273       170             -2.96              nan              0.02       5.65           0.17                 0.33        14.44            43   0.17             42          850135478        2.71              0.47        12.28               37.9                     0.05                  0.73                0.4             0     noise                  0.05          66.55              0                -0.02              0
951763887   5.85025        60             -0.69                0.12           5.85       3.98           0.97                 1.46       175.92            44   2.17             43          850135076        1.2               0.99        13.59              157.41                    0.08                  0.76                0.5             0     good                  -0.14          70.07              0                -0.06              0.13
951763893   5.0215        100             -0.2                 0.07           5.02       3.25           0.73                 1.51       127.55            45   1.68             44          850135078        1.25              0.99        31.06              277.75                    0.05                  0.77                0.5             0     good                   0.62          45.59              0.01             -0.03              0.11
951763901   6.27197        90              0.21                0.16           6.27       3.44           0.9                  1.5        162.24            46   1.93             45          850135086        2.53              0.99        24.48              177.91                    0.07                nan                   0.04            0     good                   2.34          60.28              0.01            nan                 0.05
951763907   9.34383        80              0                   0.11           9.34       3.11           0.97                 0.54       211.34            47   3.05             46          850135082        0.61              0.99        27.14              116.85                    0.62                  0.23                0.04            0     good                   0.48          67.6               0                -0.12              0.06
951763914  15.789          70             -0.21                0.14          15.79       6.13           0.99                 0.55       244.26            48   1.99             47          850135084        0.6               0.99        32.78               87.27                    0.66                  0.19                0               0     good                   0            113.55              0                -0.12              0
951763920   4.00488       110              0.04                0.1            4          2.75           0.77                 0.59       158.2             49   1.42             48          850135084        0.56              0.99        16.87              275.2                     0.36                  0.33                0.5             0     good                   0.16          50.12              0.01             -0.07              0.21
951763928   5.38287        60              0                   0.36           5.38       5.01           0.96                 0.51       684.2             50   4.44             49          850135084        0.81              0.99        49.61               98.27                    1.97                  0.26                0               0     good                   0.41          61.92              0                -0.44              0
951763934   3.04221        60              0.34                0.15           3.04       2.97           0.88                 0.96       223.44            51   1.14             50          850135084        0.34              0.99        43.2               212.11                    0.58                  0.3                 0.5             0     good                   0.21          46.77              0.01             -0.03              0.26
951763941   0.00816        50             -0.34              nan              0.01       4.4          nan                    0.48       691.84            52   2.74             51          850135084        0.99              0.43       nan                   0                       1.83                  0.34                0.5             0     noise                  0.69          78.63              0                -0.7               0
951763947   1.57897        50              0                   0.17           1.58       3.04           0.99                 2.05       869.17            53   5.31             52          850135084        1.05              0.98        64.34              801.87                    0.98                  0.43                0.05            0     noise                  0.34          67.51              0               nan                 0.12
951763954  11.8275         60             -0.14                0.2           11.83       5.34           0.98                 0.52       407.73            54   4.67             53          850135086        0.94              0.99        35.17               67.31                    1.21                  0.18                0               0     good                   0.34          70.21              0                -0.17              0
951763961   8.62689        60             -0.14                0.06           8.63       2.82           0.95                 1.5        234.27            55   2.82             54          850135086        1.65              0.99        28.47              109.43                    0.12                  1.47                0               0     good                   0.69          70.55              0                -0.16              0.08
951763968   8.3856         70              0.76                0.19           8.39       4.54           0.99                 1.29       245.66            56   3.3              55          850135088        2.21              0.99        34.87              106.33                    0.13                  0.96                0               0     good                   0.69          79.37              0                -0.01              0.01
951763975  14.9898         70              0.48                0.13          14.99       5.46           0.98                 1.09       232.1             57   2.92             56          850135090        1.02              0.99        35.15               74.72                    0.13                  0.67                0               0     good                   0.62          78.92              0.01              0                 0
951763982  12.1488         60             -0.69                0.18          12.15       3.6            0.79                 0.56       145.48            59   2.5              57          850135092        0.43              0.99        19.53               80.96                    0.39                  0.32                0.13            0.02  good                  -1.03          80.68              0.01             -0.08              0.08
951763988   7.26286        60             -0.69                0.27           7.26       5.52           0.99                 0.54       294.45            60   4.54             58          850135092        0.38              0.99        25.28               54.14                    0.92                  0.21                0               0     good                   0.41          77.64              0                -0.16              0
951763994   5.46647        70              0.55                0.02           5.47       3              0.54                 0.54       135.68            61   2.35             59          850135092        0.38              0.99        34.14              247.78                    0.35                  0.32                0.33            0.01  noise                  1.03          44.64              0.02             -0.08              0.09
951764001  11.7287         80              0.14                0.17          11.73       4.51           0.97                 1.11       166.75            62   2.57             60          850135094        1.25              0.99        17.56              115.6                     0.09                  0.77                0.23            0     good                   0.62          84.56              0                 0                 0.11
951764008   0.15738       110              0.41                0.07           0.16       2.73           0                    0.59       179.69            63   2.35             61          850135094        0.89              0.93        29.74              189.08                    0.44                  0.27                0.1             0     good                   0.39          18.86              0.04             -0.09              0
951764014   2.82003       140              0.03               -0.01           2.82       2.77           0.25                 0.98        42.76            64   0.38             62          850135122        3.25              0.99        81.96              945.36                    0.03                nan                   0.5             0.01  noise                 -0.01          30.14              0.03            nan                 0.09
951764022  11.1967         70             -0.34                0.15          11.2        3.83           0.93                 1.21       149.13            65   1.36             63          850135096        7.52              0.99        29.51              100.64                    0.06                nan                   0.08            0.01  good                   0.34          67                 0                -0.01              0.04
951764029   5.63883        80             -0.07                0.06           5.64       3.02           0.74                 1.39       135.8             66   1.78             64          850135090        1.5               0.99        28.49              177                       0.08                  0.85                0.12            0     good                   0.34          48.58              0.01             -0.01              0.09
951764035  11.5555         50             -0.34                0.15          11.56       3.75           0.94                 0.59       147.52            67   1.94             65          850135100        0.95              0.99        33.98              112.86                    0.36                  0.27                0.12            0     good                   1.37          64                 0.01             -0.07              0.09
951764042  12.2763         50             -0.76                0.27          12.28       4.78           1                    0.54       336.72            68   4.26             66          850135100        0.75              0.99        26.05               81.89                    0.96                  0.32                0               0     good                   0             95.55              0                -0.18              0
951764049   3.296          40             -1.03                0.13           3.3        2.55           0.72                 1.37       150.65            69   1.85             67          850135100        1.04              0.99        33.97              270.9                     0.07                  0.77                0.06            0     good                   0             41.87              0.02             -0.03              0.23
951764055   7.28983        70             -0.27                0.22           7.29       4.45           0.87                 1.22       250.02            70   2.46             68          850135102        1.58              0.99        27.69               85.71                    0.14                  0.84                0               0     good                  -0.69          62.86              0                -0.01              0.01
951764063   7.33901        50             -0.69                0.24           7.34       5.65           0.97                 1.18       273.47            71   2.63             69          850135102        1.4               0.99        21.86               74.28                    0.17                  0.82                0               0     good                   1.03          64.91              0                -0                 0
951764070  10.6127         80             -1.44                0.13          10.61       3.09           0.97                 1.39       157.74            72   1.59             70          850135102        2.91              0.99        25.1               122.97                    0.08                  1.07                0.16            0     good                   0.21          76.71              0                -0.01              0.03
951764076   3.39117        80             -0.1                 0.05           3.39       2.28           0.48                 1.48       193.47            73   1.68             71          850135102        2.61              0.99        26.58              231.56                    0.09                  1.04                0.5             0.01  good                  -0.34          35.86              0.03             -0.1               0.14
951764083  10.1095         70             -0.34                0.22          10.11       5.39           0.98                 1.57       221.12            74   2.27             72          850135102        1.94              0.99        30.58              103.97                    0.13                  1.41                0               0     good                   0.62          76.5               0                -0.14              0
951764090  14.326          30             -0.69                0.14          14.33       6.02           1                    0.55       362.63            75   4.38             73          850135104        0.63              0.99        29.14               58.24                    0.99                  0.27                0               0     good                 nan             90.99              0                -0.2               0
951764099  11.0116         60             -0.14                0.07          11.01       3.51           0.96                 0.51       167.25            76   2.15             74          850135108        0.81              0.99        29.02              109.5                     0.5                   0.23                0.1             0     good                   0.69          66.59              0                -0.1               0.02
951764106  12.9879         80             -0.69                0.11          12.99       2.44           0.95                 0.58       225.94            77   2.86             75          850135108        0.58              0.99        24.5                86.23                    0.54                  0.29                0.04            0     good                   0.27          64.34              0                -0.08              0.03
951764112   8.86983        50             -2.06                0.1            8.87       4.32           0.95                 0.51       256.97            78   3.1              76          850135108        0.57              0.99        16.09               74.1                     0.79                  0.19                0               0     good                   0.62          65.45              0                -0.14              0.04
951764118   4.8696         50             -0.69                0.14           4.87       2.12           0.89                 0.47       297.7             79   3.39             77          850135112        0.73              0.97        32.92              408.72                    1.02                  0.16                0               0     good                   0.69          43.51              0.02             -0.13              0.11
951764125   4.77381        70             -0.21                0.12           4.77       3.1            0.54                 0.54       150.03            80   2.52             78          850135110        0.7               0.99        15.09              191.94                    0.43                  0.26                0.5             0.01  good                  -0.21          42.81              0.02             -0.08              0.25
951764132  11.0504         70             -0.76                0.1           11.05       3.17           0.92                 0.52       157.43            81   2.73             79          850135110        0.7               0.99        32.49               98.35                    0.46                  0.21                0.01            0     good                   0.21          58.85              0.01             -0.07              0.02
951764139   6.14549        80              0                   0              6.15       3.69           0.74                 0.51       171.94            82   2.81             80          850135110        0.69              0.99        15.5               169.7                     0.5                   0.25                0.12            0.01  good                  -0.48          56.27              0.01             -0.1               0.12
951764147   7.73138        70             -0.48                0.08           7.73       3.6            0.89                 1.46       154.24            83   1.99             81          850135112        1.35              0.99        19.71              109.97                    0.11                  0.69                0.1             0     good                   0.07          59.23              0.01             -0.01              0.07
951764155   7.7847         60             -1.03                0.18           7.78       6.5            0.99                 0.56       392.87            84   4.66             82          850135112        0.66              0.99        30.35               68.68                    1.19                  0.23                0               0     good                   0.48          80.58              0                -0.2               0
951764162   3.00635        90             -0.07                0.1            3.01       2.71           0.64                 0.66       136.1             86   2.06             83          850135114        0.29              0.99        16.32              212.82                    0.36                  0.3                 0.5             0     good                   0.14          36.71              0.02             -0.06              0.19
951764169   0.58705        80             -0.69                0.13           0.59       3.69           0.8                  1.44       141.25            87   1.77             84          850135112        1.27              0.99        25.87              412.24                    0.07                  0.8                 0.26            0     good                  -0.62          45.93              0                -0.08              0.22
951764175  11.2825         50              0                   0.31          11.28       9.6            1                    0.51       477.19            88   5.8              85          850135120        0.59              0.99        29.87              110.84                    1.62                  0.19                0               0     good                   0.34         160.48              0                -0.25              0
951764182   3.69808        70             -1.03                0.07           3.7        3.87           0.9                  0.55       121.15            89   1.84             86          850135116        0.51              0.99        29.3               193.6                     0.35                  0.19                0.5             0     good                   0.14          60.78              0                -0.04              0.39
951764190   8.31926        60              0                   0.05           8.32       5.17           0.98                 0.63       165.47            90   2.33             87          850135116        0.66              0.99        27.66               87.8                     0.36                  0.26                0               0     good                   1.37          76.42              0                -0.08              0.01
951764196   2.44906        80             -0.55                0.1            2.45       2.61           0.94                 0.54       173.42            91   1.83             88          850135120        0.69              0.99        19.9               308.01                    0.56                  0.16                0.45            0     good                   0.89          63.26              0                -0.07              0.3
951764203  14.0843         50             -0.34                0.39          14.08      10.14           1                    0.54       597.12            92   5.17             89          850135122        0.74              0.99        30.94               73.26                    1.8                   0.21                0               0     good                   0            179.49              0                -0.31              0
951764210   5.32293       120             -1.23                0.08           5.32       2.41           0.52                 1.3         84.48            94   0.88             90          850135124        1.36              0.99        43.03              341.19                    0.04                  1.21                0.48            0.02  good                   3.35          45.81              0.03            nan                 0.21
951764216  19.1162         70             -0.27                0.14          19.12       4.23           0.99                 0.49       215.29            95   2.71             91          850135124        0.64              0.99        24.36               85.83                    0.69                  0.26                0               0.01  good                   0.76         105                 0                -0.12              0.01
951764224   3.83655        80             -0.69                0.08           3.84       2.57           0.57                 0.66       116.01            96   1.18             92          850135124        0.89              0.99        30.09              354.25                    0.24                  0.29                0.48            0.01  good                   0.37          39.91              0.04             -0.08              0.31
951764232   5.33502        80             -1.03                0.17           5.34       5.12           0.94                 1.22       189.07            97   1.89             93          850135118        2.04              0.99        29.81              222.13                    0.09                  1.06                0.04            0     good                  -0.24          69.38              0                -0.01              0.31
951764239   3.92841        60             -0.34                0.14           3.93       3.6            0.94                 0.45       164.54            98   1.46             94          850135126        0.01              0.98         9.06              146.4                     0.55                  0.26                0.13            0     good                   0.55          74.03              0                -0.07              0.12
951764246   5.55037        60             -0.69                0.32           5.55       8.69           1                    0.45       443.82            99   4.3              95          850135126        0.31              0.99        21.27               56.42                    1.33                  0.23                0               0     good                   0.41         129.84              0                -0.24              0
951764250   6.62693        50             -0.69                0.31           6.63       6.57           0.99                 0.49       418.96           100   4.28             96          850135128        0.71              0.99        27.29               75                       1.4                   0.15                0               0     good                   0.34          85.05              0                -0.19              0
951764254   0.49198       140             -0.26                0.17           0.49       2.12           0.19                 0.62       111.44           102   1.18             97          850135130        0.06              0.8         20.49              154.47                    0.29                  0.41                0.5             0     noise                 -0.32          28.39              0.04             -0.03              1.76
951764259   7.92751        60              0.27                0.16           7.93       5              0.96                 0.52       164.39           103   2.65             98          850135132        0.3               0.99        15.32               97.82                    0.51                  0.25                0.03            0     good                  -0.34          73.17              0                -0.07              0.26
951764263   5.8641        170             -1.13                0.02           5.86       2.31           0.58                 1.32        45.24           104   0.34             99          850135128        1.58              0.86        39.06              291.98                    0.02                nan                   0.38            0.01  good                   0.47          47.93              0.02            nan                 1.1
951764268   4.06389        60             -0.62                0.32           4.06       4.83           0.99                 0.47       338.2            105   3.64            100          850135134        0.95              0.99        31.05               89.91                    1.07                  0.16                0               0     good                   0             87.29              0                -0.17              0
